gvkey,datadate,gvkey,indfmt,datafmt,consol,popsrc,acctstd,acqmeth,bspr,compst,curcd,final,fyear,fyr,ismod,pddur,scf,src,stalt,upd,datadate,fdate,pdate,accli,acco,aco,acofs,acox,acoxfs,acqdisn,acqdiso,act,adpac,am,amdc,ao,aoloch,aox,ap,apalch,apch,apdpfs,apfs,apo,apofs,aqc,artfs,asdis,asinv,at,atoch,autxr,bcef,bct,ca,capcst,capfl,capr1,capr2,capr3,caprt,caps,capx,capxfi,ceq,cfbd,cfere,cflaoth,cfo,cfpdo,cga,ch,che,cheb,chech,chee,chefs,chenfd,chfs,chs,cmp,cogs,crvnli,cshr,cstk,custadv,dbtb,dbte,dc,dcsfd,dcufd,dd1,dd1fs,dfpac,dfxa,dispoch,dlc,dlcch,dlcfs,dltis,dltr,dltt,do,doc,dp,dpact,dpc,dpdc,dpltb,dpsc,dpstb,dptb,dptc,dptic,dv,dvc,dvp,dvpdp,dvrec,dvrre,dvsco,dvt,ea,ebit,ebitda,eiea,eieac,emp,eqdivp,ero,exre,exres,exreu,fatb,fate,fatl,fatp,fca,fdfr,fea,fel,ffs,fiao,fincf,fininc,finle,finre,finvao,fopo,fsrco,fsrcopo,fsrcopt,fsrct,fuseo,fuset,gdwl,iaeq,iafxi,ialoi,ialti,iamli,iaoi,iapli,iarei,iassi,iasti,iati,ib,ibc,ibki,ibmii,icapt,idiis,idilb,idilc,idis,idist,idit,idits,iire,initb,intan,intand,intanp,intc,intfact,intfl,intiact,intoact,intpd,intpn,intrc,invch,invdsp,invfg,invo,invrm,invsvc,invt,invtfs,invwip,iobd,ioi,iore,ip,ipti,isgr,isgt,isgu,isoth,ist,ivaco,ivaeq,ivao,ivch,ivgod,ivi,ivncf,ivpt,ivst,ivstch,ivstfs,lcabg,lcacl,lcacr,lcag,lcal,lcalt,lcam,lcao,lcast,lcat,lco,lcofs,lcox,lct,lctfs,lcuacu,liqresn,liqreso,lndep,lninc,lnmd,lnrep,lo,lse,lt,ltdch,ltdlch,ltlo,mib,mibn,mibt,mic,mii,miseq,mtl,ncfliq,neqmi,nio,nit,noasub,nopi,np,npanl,npaore,nparl,npat,npfs,oancf,oancfc,oancfd,oiadp,oibdp,onbalb,onbale,opprft,pacqp,pcl,pi,pliach,ppegt,ppent,prc,prodv,prosai,prstkc,prv,psfix,pstk,pstkn,pstkr,ptran,purtshr,pvon,pvt,radp,ragr,rari,rati,rawmsm,rcl,re,recch,recco,reccofs,rect,rectfs,rectr,rectrfs,revt,ris,rlri,rlt,rpag,rv,rvbci,rvbpi,rvbti,rveqt,rvlrv,rvri,rvsi,rvti,rvupi,rvutx,saa,sal,sale,sbdc,sc,sco,seq,shrcap,siv,spi,sppch,sppiv,ssnp,sstk,stbo,stfixa,stinv,stio,stkch,subdis,subpur,tdsg,tdst,teq,transa,tsca,tstk,tstlta,tx,txc,txdb,txdc,txdi,txditc,txo,txop,txp,txpd,txpfs,txt,txw,ui,unl,unnp,vpac,vpo,wcap,wcapch,wcapchc,wcapopc,wcaps,wcapsa,wcapsu,wcapt,wcapu,xacc,xaccfs,xago,xagt,xcom,xcomi,xdvre,xeqo,xi,xido,xidoc,xindb,xindc,xins,xinst,xint,xintd,xivi,xivre,xlr,xnitb,xobd,xoi,xopr,xopro,xore,xpp,xppfs,xpr,xrd,xrent,xs,xsga,xstf,xstfo,xstfws,xt,iid,exchg,isin,sedol,ajexi,curcdi,cshoi,cshpria,epsexcon,epsexnc,epsincon,epsinnc,icapi,nicon,ninc,pv,tstkni,conm,costat,fic,loc,naicsh,sich,rank,au,auop
270979,2001-12-31,270979,FS,HIST_STD,C,I,DS,,GB,,GBP,Y,2001,12,,12,,3,,3,2001-12-31,,2007-09-24,,0.0,,,,,,,,12.046,4.358,,4.86,,,,,,,,,,,77.341,,,405.512,,,0.0,63.933,0.0,,,,,,,,,,22.268,0.0,0.0,,0.0,,,33.218,,,,,,,,0.0,,,0.0,,0.023,,,,,,,18.229,,5.632,2.409,,18.229,,,,,48.486,,,6.767,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,,,,32.331,39.098,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,71.945,0.0,93.912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.912,93.912,18.336,,0.0,,70.754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,71.945,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,84.135,0.0,0.0,0.0,,0.0,,,,,,4.054,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,,,70.463,405.512,383.244,,,,,,,,,,0.0,,,,,,,,0.0,0.0,0.0,0.0,,,,,32.331,39.098,,,,,0.0,27.435,,0.0,7.261,,,,,,,,,,0.0,,,,0.0,,0.0,111.343,,0.0,22.245,,,,,,,,112.887,24.698,,37.571,,,0.0,0.0,0.0,22.245,,0.0,0.0,208.495,0.0,,0.0,0.0,,0.0,0.0,,22.268,,,0.0,,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,9.099,,0.0,,,,,,,,,,,,,,,,,37.419,0.0,0.0,0.0,,,,,0.0,0.0,,,4.896,,0.0,0.0,,,0.0,-37.2,,,0.0,4.86,,,,,4.358,,,,,85.452,01W,194,GB00B02J6398,B02J639,,,,,,,,,,,,,,ADMIRAL GROUP PLC,A,GBR,GBR,524126.0,6331,1.0,9,1
270979,2002-12-31,270979,FS,HIST_STD,C,I,DS,,GB,,GBP,Y,2002,12,,12,,3,,3,2002-12-31,,2007-09-24,,0.0,,,,,,,,5.121,4.285,,1.788,,,,,,,,,,,73.728,,,377.392,,,0.0,52.566,0.0,,,,,,,15.746,,,68.953,0.0,0.0,,0.0,,,62.996,,,,,,,,0.0,,,0.0,,0.025,,,,,,,4.257,,1.655,3.041,,4.257,,,,,47.343,,,7.326,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,66.26,0.0,110.877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.877,110.877,30.937,,0.0,,119.716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,66.26,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,81.336,0.0,0.0,0.0,,0.0,,,,,,6.145,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,,,46.058,377.392,308.439,,,,,,,,,,0.0,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,42.951,,0.0,6.681,,,,,,,,,,0.0,,,3.42,0.0,,0.0,53.407,,0.0,53.182,,,,,,,,113.924,26.443,,52.238,,,0.0,0.0,0.0,53.182,,0.0,0.0,155.123,0.0,,0.0,0.0,,0.0,0.0,,68.953,,,,,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,12.014,,0.0,,,,,,,,,,,,,,,,,54.149,0.0,0.0,0.0,,,,,0.0,0.0,,,4.852,,0.0,0.0,,,0.0,-50.0,,,0.0,1.788,,,,,4.285,,,,,70.973,01W,194,GB00B02J6398,B02J639,,,,,,,,,,,,,,ADMIRAL GROUP PLC,A,GBR,GBR,524126.0,6331,1.0,9,1
270979,2003-12-31,270979,FS,HIST_STD,C,I,DS,,GB,,GBP,Y,2003,12,,12,,3,,3,2003-12-31,,2007-09-24,,0.0,,,,,,,,5.252,3.906,,1.561,,,,,,,,,,,78.71,,,449.032,,,0.0,43.557,0.0,,,,,,,15.746,,,108.166,0.0,0.0,,0.0,,,70.075,,,,,,,,0.0,,,0.0,,0.025,,,,,,,8.475,,2.27,2.858,,8.475,,,,,30.741,,,6.764,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,62.354,0.0,168.925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.925,168.925,39.213,,0.0,,145.273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,62.354,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,79.327,0.0,0.0,0.0,,0.0,,,,,,5.586,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,,,71.588,449.032,340.866,,,,,,,,,,0.0,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,57.244,,0.0,5.849,,,,,,,,,,0.0,,,6.366,0.0,,0.0,59.288,,0.0,92.395,,,,,,,,123.421,38.508,,48.867,,,0.0,0.0,0.0,92.395,,0.0,0.0,174.829,0.0,,0.0,0.0,,0.0,0.0,,108.166,,,,,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,18.031,,0.0,,,,,,,,,,,,,,,,,51.688,0.0,0.0,0.0,,,,,0.0,0.0,,,3.146,,0.0,0.0,,,0.0,-41.372,,,0.0,1.561,,,,,3.906,,,,,66.177,01W,194,GB00B02J6398,B02J639,,,,,,,,,,,,,,ADMIRAL GROUP PLC,A,GBR,GBR,524126.0,6331,1.0,9,1
270979,2004-12-31,270979,FS,HIST_STD,C,I,DS,,GB,,GBP,Y,2004,12,,12,,5,,3,2004-12-31,,2007-09-24,,0.0,,28.393,,26.759,,,,0.0,3.906,,46.482,,44.848,,,,,234.315,,,,106.939,,,568.709,,,0.0,74.272,0.0,,,,,,,13.145,,,116.679,0.0,0.0,,0.0,,,88.611,,,,,88.611,,88.611,0.0,,,0.0,,0.259,,,,,,,12.998,12.998,2.794,2.556,,12.998,,12.998,,,21.667,,,6.462,16.266,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,24.049,,,,0.0,,24.049,,120.436,126.898,,,1.616,,,,,,,20.934,,,,,0.0,0.0,,,,,,,,,,,,,,,58.448,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.008,234.008,86.6,,0.0,86.6,143.184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,58.448,,,,,,,,,,,,,,,,,0.0,,,0.0,21.673,0.0,0.0,107.501,0.0,0.0,0.0,0.0,0.0,,,,,,11.884,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,76.762,,,176.1,0.0,,,,,,,105.073,568.709,452.03,,,,,,,,,,0.0,,,,,,,,0.0,0.0,0.0,0.0,,,,,120.436,126.898,,,,,0.0,117.985,,20.934,4.668,,,,,,,,,,0.0,,,4.838,0.0,,0.0,26.759,,0.0,103.258,,,7.549,,106.939,,99.39,197.815,56.757,,91.347,,,0.0,0.0,0.0,103.275,,0.0,0.0,216.107,0.0,,0.0,0.0,,0.0,0.0,,116.679,,,0.0,,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,9.585,31.385,,0.0,,,,,,,,,,,,,,,89.753,,-0.799,0.0,0.0,0.0,,,,,0.0,0.0,,,2.451,,0.0,0.0,,,0.0,,,,0.0,1.634,1.634,,,,3.906,,,,,79.83,01W,194,GB00B02J6398,B02J639,1.0,GBP,258.595,258.595,0.3349,,0.3349,,,86.6,,,,ADMIRAL GROUP PLC,A,GBR,GBR,524126.0,6331,1.0,6,1
270979,2005-12-31,270979,FS,HIST_STD,C,I,DI,,GB,,GBP,Y,2005,12,,12,,3,,3,2005-12-31,,2007-09-24,,0.0,,56.653,,54.166,,,,6.888,0.896,,5.815,,0.0,4.423,,,,174.639,,,,129.715,,,663.583,,,0.0,100.526,0.0,,,,,,,13.145,,,181.412,0.0,0.0,,0.0,,,150.152,,,,,150.152,,150.152,0.0,,,0.0,,0.26,,,,3.328,,,1.963,1.963,0.0,1.824,,1.963,,1.963,,,22.886,,,2.72,9.585,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,63.841,,,,0.0,,63.841,,121.656,124.376,,,1.716,,,,,,,14.221,,,,,0.0,0.0,,,,,,,,,,,,,,,62.354,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.937,255.937,84.72,,0.0,84.72,207.848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,63.162,,,,,,,,,,,,,,,,,0.0,,,0.0,14.735,0.0,0.0,139.454,0.0,0.0,0.0,0.0,0.0,,,,,,15.518,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,162.674,0.0,,,,,,,66.694,663.583,482.171,,,,,,,,,,0.0,,,,,,,,0.0,0.0,0.0,0.0,,,,,121.656,124.376,,,,,0.0,119.494,,14.221,4.636,,,,,,,,,,0.0,,,3.55,0.0,,0.0,54.166,,0.0,167.99,,,6.905,,129.715,,122.81,263.112,93.405,,0.0,,,0.0,0.0,0.0,168.007,,0.0,0.0,382.655,0.0,,0.0,0.0,,0.0,0.0,,181.412,,,0.0,,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,19.556,34.774,,0.0,,,,,,,,,,,,,,,143.118,,34.042,0.0,0.0,0.0,,,,,0.0,0.0,,,2.162,,0.0,0.0,,,0.0,0.0,,,0.0,2.487,2.487,,,,,,,,,143.618,01W,194,GB00B02J6398,B02J639,1.0,GBP,259.862,258.988,0.3271,,0.3271,,,84.72,,,,ADMIRAL GROUP PLC,A,GBR,GBR,524126.0,6331,1.0,6,1
270979,2006-12-31,270979,FS,HIST_STD,C,I,DI,,GB,,GBP,Y,2006,12,,12,,3,,3,2006-12-31,,2007-09-24,,0.0,,76.638,,74.689,,,,0.0,0.446,,5.394,,0.0,4.601,,,,207.022,,,,153.286,,,753.005,,,0.0,107.145,0.0,,,,,,,13.145,,,219.055,0.0,0.0,,0.0,,,191.242,,,,,191.242,,191.242,0.0,,,0.0,,0.261,,,,3.445,,,1.337,1.337,0.0,2.489,,1.337,,1.337,,,0.061,,,2.935,12.069,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,46.744,,,,0.0,,46.744,,148.36,151.295,,,1.997,,,,,,,19.517,,,,,0.0,0.0,,,,,,,,,,,,,,,62.354,0.0,0.0,0.0,0.0,0.0,257.634,0.0,0.0,0.0,0.0,257.634,103.722,,0.0,103.722,220.097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,63.312,,,,,,,,,,,,,,,,,0.0,,,0.0,19.926,0.0,0.0,144.955,0.0,0.0,0.0,0.0,0.0,,,,,,14.464,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,177.381,0.0,,,,,,,76.535,753.005,533.95,,,,,,,,,,0.0,,,,,,,,0.0,0.0,0.0,0.0,,,,,148.36,151.295,,,,,0.0,147.342,,19.517,7.448,,,,,,,,,,0.0,,,0.981,0.0,,0.0,74.689,,0.0,205.682,,,14.982,,153.286,,138.304,310.966,131.621,,0.0,,,0.0,0.0,0.0,205.649,,0.0,0.0,450.435,0.0,,0.0,0.0,,0.0,0.0,,219.055,,,0.0,,,0.0,,,,,,,,,0.0,0.0,,,,,,,44.782,,,-1.162,,0.0,,,,23.407,43.62,,0.0,,,,,,,,,,,,,,,153.974,,0.933,0.0,0.0,0.0,,,,,0.0,0.0,,,1.018,,0.0,0.0,,,0.0,54.528,,,0.0,1.949,1.949,,,,,,,,,163.624,01W,194,GB00B02J6398,B02J639,1.0,GBP,261.187,260.633,0.39796,,0.39796,,,103.722,,,,ADMIRAL GROUP PLC,A,GBR,GBR,524126.0,6331,1.0,6,1
270979,2007-12-31,270979,FS,HIST_STD,C,I,DI,,GB,,GBP,Y,2007,12,,12,,3,,3,2007-12-31,2008-04-15,2008-03-12,,0.0,,133.554,,131.668,,,,0.0,0.725,,8.095,,1.629,5.96,,,,248.536,,,,166.987,,,870.322,,,0.0,99.795,0.0,,,,,,,13.145,,,237.632,0.0,0.0,,0.0,,,155.773,,,,,155.773,,155.773,0.0,,,0.0,,0.263,,,,4.58,,,0.345,0.345,0.0,3.227,,0.345,,0.345,,,0.004,,,3.952,15.293,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,114.504,,,,0.0,,114.504,,182.382,186.334,,,2.5,,,,,,2.746,20.255,,,,,0.0,0.0,,,,,,,,,,,,,,,62.354,0.0,0.0,0.0,0.0,0.0,335.608,0.0,0.0,0.0,0.0,335.608,127.416,,0.0,127.416,237.636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,64.483,,,,,,,,,,,,,,,,,0.0,,,0.0,20.448,0.0,0.0,142.236,0.0,0.0,0.0,0.0,0.0,,,,,,24.572,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,224.503,0.0,,,,,,,90.185,870.322,632.69,,,,,,,,,,0.0,,,,,,,,0.0,0.0,0.0,0.0,,,,,182.382,186.334,,,,,0.0,182.098,,23.001,7.708,,,,,,,,,,0.0,,,,0.0,,0.0,131.668,,0.0,223.828,,,20.747,,166.987,,146.24,364.134,176.878,,0.0,,,0.0,0.0,0.0,224.224,,0.0,0.0,536.196,0.0,,0.0,0.0,,0.0,0.0,,237.632,,,0.0,,,0.0,,,,,,,,,0.0,0.0,,,,,,,56.107,,,,,-1.425,,,,30.037,54.682,,0.0,,,,,,,,,,,,,,,194.466,,2.971,0.0,0.0,0.0,,,,,0.0,0.0,,,0.284,,0.0,0.0,,,0.0,78.986,,,0.0,1.886,1.886,,,,,,,,,182.036,01W,194,GB00B02J6398,B02J639,1.0,GBP,262.721,261.982,0.48635,,0.48635,,,127.416,,,,ADMIRAL GROUP PLC,A,GBR,GBR,524126.0,6331,1.0,6,1
270979,2008-12-31,270979,FS,HIST_STD,C,I,DI,,GB,,GBP,Y,2008,12,,12,,5,,3,2008-12-31,2009-04-13,2009-03-05,,0.0,,173.829,,170.594,,,,,1.39,,11.582,,0.0,10.76,,,,293.033,,,,198.338,,,1014.003,,,0.0,114.576,0.0,,,,,,,13.145,,,275.569,0.0,0.0,,0.0,,,144.286,,,,,144.286,,144.286,0.0,,,0.0,,0.265,,,,8.347,,,0.126,0.126,0.0,3.746,,0.126,,0.126,,,0.014,,,5.136,19.038,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,202.543,207.679,,,3.11,,,,,,4.043,25.997,,,,,0.0,0.0,,,,,,,,,,,,,,,62.354,0.0,0.0,0.0,0.0,0.0,410.863,0.0,0.0,0.0,0.0,410.863,144.938,,0.0,144.938,285.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,67.338,,,,,,,,,,,,,,,,,0.0,,,0.0,34.726,0.0,0.0,169.836,0.0,0.0,0.0,,0.0,,,,,,24.381,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,260.155,0.0,,,,,,,84.142,1014.003,738.434,,,,,,,,,,0.0,,,,,,,,0.0,0.0,0.0,0.0,,,,,202.543,207.679,,,,,0.0,202.518,,30.04,11.002,,,,,,,,,,0.0,,,10.327,0.0,,0.0,170.594,,0.0,251.821,,,22.266,,198.338,,176.072,422.806,193.863,,0.0,,,0.0,0.0,0.0,262.159,,0.0,0.0,633.065,0.0,,0.0,0.0,,0.0,0.0,,275.569,,,0.0,,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,18.463,57.58,,0.0,,,,,,,,,,,,,,,241.692,,93.205,0.0,0.0,0.0,,,,,0.0,0.0,,,0.025,,0.0,0.0,,,0.0,12.482,,,0.0,3.235,3.235,,,,,,,,,220.288,01W,194,GB00B02J6398,B02J639,1.0,GBP,264.542,263.821,0.5494,,0.5494,,,144.938,,,,ADMIRAL GROUP PLC,A,GBR,GBR,524126.0,6331,1.0,6,1
270979,2009-12-31,270979,FS,HIST_STD,C,I,DI,,GB,,GBP,Y,2009,12,,12,,5,,3,2009-12-31,2010-05-13,2010-03-10,,0.0,,213.1,,212.9,,,,,2.2,,9.6,,0.0,10.7,,,,488.6,,,,242.2,,,1177.4,,,0.0,151.7,0.0,,,,,,,13.1,,,300.2,0.0,0.0,,0.0,,,211.8,,,,,211.8,,211.8,0.0,,,0.0,,0.3,,,,9.4,,,0.3,0.3,0.0,5.1,,0.3,,0.3,,,0.1,,,7.3,23.9,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,70.143,,,,0.0,,70.143,,215.8,223.1,,,3.5,,,,,,5.0,31.0,,,,,0.0,0.0,,,,,,,,,,,,,,,62.3,0.0,0.0,0.0,0.0,0.0,421.2,0.0,0.0,0.0,0.0,421.2,156.9,,0.0,156.9,306.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,67.6,,,,,,,,,,,,,,,,,0.0,,,0.0,54.2,0.0,0.0,211.9,0.0,0.0,0.0,,0.0,,,,,,8.8,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,340.7,0.0,,,,,,,118.6,1177.4,876.6,,,,0.6,,0.6,,,,0.0,,,,,,,,0.0,0.0,0.0,0.0,,,,,215.8,223.1,,,,,0.0,215.8,,36.0,12.1,,,,,,,,,,0.0,,,5.7,0.0,,0.0,212.9,,0.0,281.8,,,32.5,,242.2,,209.7,507.5,232.6,,154.4,,,0.0,0.0,0.0,286.8,,0.0,0.0,586.8,0.0,,0.0,0.0,,0.0,0.0,,300.2,,,0.0,,,0.0,,,,,,,,,0.0,0.0,,,,,,,61.8,,,2.9,,-5.8,,,,31.2,58.9,,0.0,,,,,,,,,,,,,,,309.5,,122.7,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,17.3,,,0.0,0.2,0.2,,,,,,,,,291.7,01W,194,GB00B02J6398,B02J639,1.0,GBP,266.477,265.712,0.5905,,0.5905,,,156.9,,,,ADMIRAL GROUP PLC,A,GBR,GBR,524126.0,6331,1.0,6,1
270979,2010-12-31,270979,FS,HIST_STD,C,I,DI,,GB,,GBP,Y,2010,12,,12,,5,,3,2010-12-31,2011-07-01,2011-03-05,,0.0,,358.5,,358.5,,,,,2.7,,13.9,,13.9,13.3,,,,774.9,,,,389.4,,,1766.7,,,0.0,208.5,0.0,,,,,,,13.1,,,350.3,0.0,0.0,,0.0,,,246.7,,,,,246.7,,246.7,0.0,,,0.0,,0.3,,,,,,,,,14.9,4.6,,,,,,,0.2,,,7.3,27.6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,86.462,,,,0.0,,86.462,,265.5,272.8,,,4.74,,,,,,5.2,36.0,,,,,0.0,0.0,,,,,,,,,,,,,,,62.3,0.0,0.0,0.0,0.0,0.0,663.2,0.0,0.0,0.0,0.0,663.2,193.8,,0.0,193.6,350.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,68.0,,,,,,,,,,,,,,,,,0.0,,,0.0,67.0,0.0,0.0,288.1,0.0,0.0,0.0,,0.0,,,,,,9.5,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,565.8,0.0,,,,,,,186.2,1766.7,1416.0,,,,,0.4,0.4,,-0.2,,0.0,,,,,,,,0.0,0.0,0.0,0.0,,,,,265.5,272.8,,,,,0.0,265.5,,41.2,13.6,,,,,,,,,,0.0,,,,0.0,,0.0,357.0,,0.0,332.7,,,47.9,,389.4,,341.5,640.8,276.2,,327.4,,,0.0,0.0,0.0,336.9,,0.0,0.0,888.9,0.0,,0.0,0.0,,0.0,0.0,,350.3,,,0.0,,,0.0,,,,,,,,,0.0,0.0,350.7,,,,,,86.7,,,14.8,,-29.6,,,,48.4,71.9,,0.0,,,,,,,,,,,,,,,517.4,,21.4,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,145.4,,,0.0,,,,,,,,,,,375.3,01W,194,GB00B02J6398,B02J639,1.0,GBP,268.572,267.827,0.7236,,0.7236,,,193.8,,,,ADMIRAL GROUP PLC,A,GBR,GBR,524126.0,6331,1.0,6,1
270979,2011-12-31,270979,FS,HIST_STD,C,I,DI,,GB,,GBP,Y,2011,12,,12,,5,,3,2011-12-31,2012-05-08,2012-03-10,,,,640.8,,639.8,,,,,3.3,,11.3,,10.3,12.1,,,,1372.6,,,,475.0,,,2614.9,,,,363.8,,,,,,,,13.1,,,393.9,,,,,,,224.6,,,,,224.6,,224.6,,,,,,0.3,,,,,,,0.9,0.9,16.4,6.1,,0.9,,0.9,,,,,,9.4,33.7,,,,,,,,,,151.495,,,,,,151.495,,299.1,308.5,,,6.0,,,,,,6.7,44.6,,,,,,,,,,,,,,,,,,,,,62.3,,,,,,1159.1,,,,,1159.1,221.2,,,221.3,394.4,,,,,,,,,,71.1,,,,,,,,,,,,,,,,,,,,,61.8,,,445.8,,,,,,,,,,,13.7,,,,,,,,,,,,,,,,,0.0,,,770.6,,,,,,,,184.3,2614.9,2220.5,,,,,0.5,0.5,,0.1,,,,,,,,,,,,,,,,,,299.1,308.5,,,,,,299.1,,51.3,17.6,,,,,,,,,,,,,,,,,639.8,,,377.3,,,51.1,,475.0,,423.9,870.3,349.0,,579.4,,,,,,380.5,,,,1443.8,,,,,,,,,393.9,,,0.0,,,,,,,,,,,,,,394.4,,,,,,77.1,,,-0.7,,1.4,,,,30.2,77.8,,,,,,,,,,,,,,,,,740.4,,26.5,,,,,,,,,,,,0.0,,,,,,,180.9,,,,1.0,1.0,,,,,,,,,571.2,01W,194,GB00B02J6398,B02J639,1.0,GBP,270.789,269.903,0.8196,,0.8196,,,221.2,,,,ADMIRAL GROUP PLC,A,GBR,GBR,524126.0,6331,1.0,6,1
270979,2012-12-31,270979,FS,HIST_STD,C,I,DI,,GB,,GBP,Y,2012,12,,12,,5,,3,2012-12-31,2013-03-27,2013-03-09,,,,803.5,,803.0,,,,,4.1,,15.7,,15.2,13.0,,,,1884.2,,,,458.3,,,3204.2,,,,404.5,,,,,,,,13.1,,,457.1,,,,,,,216.6,,,,,417.0,,216.6,,,,,,0.3,,,,,,,0.8,0.8,20.3,6.6,,0.8,,0.8,,,,,,10.7,40.3,,,,,,,,,,115.844,,,,,,115.844,,344.6,355.3,,,6.5,,,,,,7.3,49.5,,,,,,,,,,,,,,,,,,,,,62.3,,,,,,1401.2,,,,,1401.2,258.4,,,258.4,460.7,,,,,,,,,,72.2,,,,,,,,,,,,,,,,,,,,,108.4,,,498.9,,,,,,,,,,,15.9,,,200.4,,200.4,,,,,,,,,,,,71.5,,,858.5,,,,,,,,193.9,3204.2,2743.5,,,,,3.6,3.6,,,,,,,,,,,,,,,,,,,,344.6,355.3,,,,,,344.6,,56.8,16.5,,,,,,,,,,,,,,,,,803.0,,,443.0,,,54.8,,458.3,,403.5,984.3,361.1,,723.5,,,,,,443.7,,,,1812.3,,,,,,,,,457.1,,,0.0,,,,,,,,200.4,,,,,,460.7,,,,,,89.6,,,3.4,,-6.8,,,,40.1,86.2,,,,,,,,,,,,,,,,,746.9,,235.2,,,,,,,,,,,,0.0,,,,,,,,,,,0.5,0.5,,,,,,,,,639.7,01W,194,GB00B02J6398,B02J639,1.0,GBP,272.34,271.715,0.951,,0.951,,,258.4,,,,ADMIRAL GROUP PLC,A,GBR,GBR,524126.0,6331,1.0,6,1
