name,date,PX_LAST
UNI IM Equity,1990-01-25,58.392
UNI IM Equity,1990-01-26,57.713
UNI IM Equity,1990-01-29,57.034
UNI IM Equity,1990-01-30,56.5814
UNI IM Equity,1990-01-31,55.6761
UNI IM Equity,1990-02-01,56.1287
UNI IM Equity,1990-02-02,56.1513
UNI IM Equity,1990-02-05,56.174
UNI IM Equity,1990-02-06,56.0155
UNI IM Equity,1990-02-07,54.3181
UNI IM Equity,1990-02-08,51.6022
UNI IM Equity,1990-02-09,52.0548
UNI IM Equity,1990-02-12,51.8285
UNI IM Equity,1990-02-13,51.7833
UNI IM Equity,1990-02-14,51.6022
UNI IM Equity,1990-02-15,52.1227
UNI IM Equity,1990-02-16,52.3943
UNI IM Equity,1990-02-19,52.6207
UNI IM Equity,1990-02-20,51.9417
UNI IM Equity,1990-02-21,51.6022
UNI IM Equity,1990-02-22,51.6022
UNI IM Equity,1990-02-23,51.6022
UNI IM Equity,1990-02-26,51.6022
UNI IM Equity,1990-02-27,51.6248
UNI IM Equity,1990-02-28,51.6022
UNI IM Equity,1990-03-01,51.6022
UNI IM Equity,1990-03-02,51.6022
UNI IM Equity,1990-03-05,51.6248
UNI IM Equity,1990-03-06,51.6022
UNI IM Equity,1990-03-07,51.6022
UNI IM Equity,1990-03-08,51.6022
UNI IM Equity,1990-03-09,51.6022
UNI IM Equity,1990-03-12,51.6022
UNI IM Equity,1990-03-13,51.6022
UNI IM Equity,1990-03-14,51.6022
UNI IM Equity,1990-03-15,51.8285
UNI IM Equity,1990-03-16,53.5486
UNI IM Equity,1990-03-19,54.2049
UNI IM Equity,1990-03-20,53.1186
UNI IM Equity,1990-03-21,52.0548
UNI IM Equity,1990-03-22,51.6475
UNI IM Equity,1990-03-23,51.6135
UNI IM Equity,1990-03-26,51.6361
UNI IM Equity,1990-03-27,52.0322
UNI IM Equity,1990-03-28,51.6022
UNI IM Equity,1990-03-29,51.8285
UNI IM Equity,1990-03-30,52.0548
UNI IM Equity,1990-04-02,51.7833
UNI IM Equity,1990-04-03,51.6022
UNI IM Equity,1990-04-04,51.6475
UNI IM Equity,1990-04-05,51.6022
UNI IM Equity,1990-04-06,51.6022
UNI IM Equity,1990-04-09,52.1114
UNI IM Equity,1990-04-10,52.5754
UNI IM Equity,1990-04-11,51.7154
UNI IM Equity,1990-04-12,51.7154
UNI IM Equity,1990-04-13,53.1865
UNI IM Equity,1990-04-17,53.8881
UNI IM Equity,1990-04-18,53.4128
UNI IM Equity,1990-04-19,52.168
UNI IM Equity,1990-04-20,52.3717
UNI IM Equity,1990-04-23,52.0548
UNI IM Equity,1990-04-24,51.7154
UNI IM Equity,1990-04-26,51.738
UNI IM Equity,1990-04-27,51.7425
UNI IM Equity,1990-04-30,51.7154
UNI IM Equity,1990-05-02,51.7154
UNI IM Equity,1990-05-03,51.8512
UNI IM Equity,1990-05-04,51.9643
UNI IM Equity,1990-05-07,51.9417
UNI IM Equity,1990-05-08,51.7606
UNI IM Equity,1990-05-09,51.6135
UNI IM Equity,1990-05-10,51.6022
UNI IM Equity,1990-05-11,51.6022
UNI IM Equity,1990-05-14,51.6022
UNI IM Equity,1990-05-15,51.6927
UNI IM Equity,1990-05-16,51.6022
UNI IM Equity,1990-05-17,52.3264
UNI IM Equity,1990-05-18,52.4849
UNI IM Equity,1990-05-21,53.2996
UNI IM Equity,1990-05-22,53.1752
UNI IM Equity,1990-05-23,52.9375
UNI IM Equity,1990-05-24,52.9828
UNI IM Equity,1990-05-25,53.9786
UNI IM Equity,1990-05-28,53.8654
UNI IM Equity,1990-05-29,54.6576
UNI IM Equity,1990-05-30,55.495
UNI IM Equity,1990-05-31,56.355
UNI IM Equity,1990-06-01,56.5361
UNI IM Equity,1990-06-04,55.4497
UNI IM Equity,1990-06-05,55.1781
UNI IM Equity,1990-06-06,54.9971
UNI IM Equity,1990-06-07,55.2234
UNI IM Equity,1990-06-08,55.2234
UNI IM Equity,1990-06-11,54.8839
UNI IM Equity,1990-06-12,54.3181
UNI IM Equity,1990-06-13,54.1597
UNI IM Equity,1990-06-14,54.9971
UNI IM Equity,1990-06-15,53.9786
UNI IM Equity,1990-06-18,54.5444
UNI IM Equity,1990-06-19,54.2955
UNI IM Equity,1990-06-20,54.2955
UNI IM Equity,1990-06-21,53.8654
UNI IM Equity,1990-06-22,53.6165
UNI IM Equity,1990-06-25,53.7523
UNI IM Equity,1990-06-26,53.1865
UNI IM Equity,1990-06-27,53.526
UNI IM Equity,1990-06-28,53.8654
UNI IM Equity,1990-06-29,52.6207
UNI IM Equity,1990-07-02,52.5075
UNI IM Equity,1990-07-03,52.5075
UNI IM Equity,1990-07-04,53.2996
UNI IM Equity,1990-07-05,52.9601
UNI IM Equity,1990-07-06,52.0096
UNI IM Equity,1990-07-09,52.168
UNI IM Equity,1990-07-10,51.6022
UNI IM Equity,1990-07-11,51.6135
UNI IM Equity,1990-07-12,51.6022
UNI IM Equity,1990-07-13,51.6701
UNI IM Equity,1990-07-16,51.6135
UNI IM Equity,1990-07-17,51.6135
UNI IM Equity,1990-07-18,52.0548
UNI IM Equity,1990-07-19,52.0548
UNI IM Equity,1990-07-20,52.168
UNI IM Equity,1990-07-23,52.0322
UNI IM Equity,1990-07-24,51.6022
UNI IM Equity,1990-07-25,51.8512
UNI IM Equity,1990-07-26,51.6248
UNI IM Equity,1990-07-27,50.2442
UNI IM Equity,1990-07-30,51.6022
UNI IM Equity,1990-07-31,51.6022
UNI IM Equity,1990-08-01,51.6022
UNI IM Equity,1990-08-02,50.4706
UNI IM Equity,1990-08-03,50.2669
UNI IM Equity,1990-08-06,48.5468
UNI IM Equity,1990-08-07,48.5468
UNI IM Equity,1990-08-08,48.8863
UNI IM Equity,1990-08-09,48.3884
UNI IM Equity,1990-08-10,48.3205
UNI IM Equity,1990-08-13,47.8678
UNI IM Equity,1990-08-14,47.6415
UNI IM Equity,1990-08-16,47.8678
UNI IM Equity,1990-08-17,46.623
UNI IM Equity,1990-08-20,44.5861
UNI IM Equity,1990-08-21,44.5861
UNI IM Equity,1990-08-22,45.2651
UNI IM Equity,1990-08-23,44.5861
UNI IM Equity,1990-08-24,44.3598
UNI IM Equity,1990-08-27,45.7177
UNI IM Equity,1990-08-28,46.1704
UNI IM Equity,1990-08-29,45.7177
UNI IM Equity,1990-08-30,46.7362
UNI IM Equity,1990-08-31,46.623
UNI IM Equity,1990-09-03,45.9441
UNI IM Equity,1990-09-04,45.1519
UNI IM Equity,1990-09-05,45.0388
UNI IM Equity,1990-09-06,44.7219
UNI IM Equity,1990-09-07,44.5861
UNI IM Equity,1990-09-10,44.8124
UNI IM Equity,1990-09-11,44.4729
UNI IM Equity,1990-09-12,44.5861
UNI IM Equity,1990-09-13,44.7672
UNI IM Equity,1990-09-14,44.5861
UNI IM Equity,1990-09-17,44.1222
UNI IM Equity,1990-09-18,43.5676
UNI IM Equity,1990-09-19,42.0965
UNI IM Equity,1990-09-20,41.6439
UNI IM Equity,1990-09-21,40.7386
UNI IM Equity,1990-09-24,41.146
UNI IM Equity,1990-09-25,40.7386
UNI IM Equity,1990-09-26,40.7386
UNI IM Equity,1990-09-27,40.8517
UNI IM Equity,1990-09-28,40.9423
UNI IM Equity,1990-10-01,40.7386
UNI IM Equity,1990-10-02,41.5533
UNI IM Equity,1990-10-03,43.0018
UNI IM Equity,1990-10-04,42.3229
UNI IM Equity,1990-10-05,42.3229
UNI IM Equity,1990-10-08,42.3229
UNI IM Equity,1990-10-09,42.3229
UNI IM Equity,1990-10-10,41.6212
UNI IM Equity,1990-10-11,41.4175
UNI IM Equity,1990-10-12,41.4175
UNI IM Equity,1990-10-15,41.0781
UNI IM Equity,1990-10-16,41.0781
UNI IM Equity,1990-10-17,41.0781
UNI IM Equity,1990-10-19,41.1912
UNI IM Equity,1990-10-22,41.757
UNI IM Equity,1990-10-23,42.7981
UNI IM Equity,1990-10-24,42.7755
UNI IM Equity,1990-10-25,43.0697
UNI IM Equity,1990-10-26,43.0697
UNI IM Equity,1990-10-29,42.6623
UNI IM Equity,1990-10-30,42.7076
UNI IM Equity,1990-10-31,42.5492
UNI IM Equity,1990-11-02,42.2097
UNI IM Equity,1990-11-05,41.8702
UNI IM Equity,1990-11-06,41.8702
UNI IM Equity,1990-11-07,41.1912
UNI IM Equity,1990-11-08,40.7386
UNI IM Equity,1990-11-09,40.7386
UNI IM Equity,1990-11-12,40.7386
UNI IM Equity,1990-11-13,40.7386
UNI IM Equity,1990-11-14,41.1912
UNI IM Equity,1990-11-15,40.9649
UNI IM Equity,1990-11-22,40.7386
UNI IM Equity,1990-11-23,40.9649
UNI IM Equity,1990-11-26,40.7386
UNI IM Equity,1990-11-27,40.7386
UNI IM Equity,1990-11-28,40.7386
UNI IM Equity,1990-11-29,40.7386
UNI IM Equity,1990-11-30,40.7386
UNI IM Equity,1990-12-03,40.7386
UNI IM Equity,1990-12-04,40.7386
UNI IM Equity,1990-12-05,41.1912
UNI IM Equity,1990-12-06,41.3044
UNI IM Equity,1990-12-07,41.6439
UNI IM Equity,1990-12-10,40.7386
UNI IM Equity,1990-12-11,40.7386
UNI IM Equity,1990-12-12,41.6439
UNI IM Equity,1990-12-13,41.4175
UNI IM Equity,1990-12-14,41.4175
UNI IM Equity,1990-12-17,41.4175
UNI IM Equity,1990-12-18,40.897
UNI IM Equity,1990-12-19,41.6439
UNI IM Equity,1990-12-20,41.1912
UNI IM Equity,1990-12-21,40.7386
UNI IM Equity,1990-12-27,40.7386
UNI IM Equity,1990-12-28,41.0781
UNI IM Equity,1990-12-31,41.0781
UNI IM Equity,1991-01-02,40.7386
UNI IM Equity,1991-01-03,40.7386
UNI IM Equity,1991-01-04,40.7386
UNI IM Equity,1991-01-07,40.7386
UNI IM Equity,1991-01-08,40.7386
UNI IM Equity,1991-01-09,40.7386
UNI IM Equity,1991-01-10,40.7386
UNI IM Equity,1991-01-11,40.7386
UNI IM Equity,1991-01-14,40.7386
UNI IM Equity,1991-01-15,40.7159
UNI IM Equity,1991-01-16,40.6933
UNI IM Equity,1991-01-17,40.6933
UNI IM Equity,1991-01-18,40.7386
UNI IM Equity,1991-01-21,40.7159
UNI IM Equity,1991-01-22,40.6254
UNI IM Equity,1991-01-23,40.5122
UNI IM Equity,1991-01-24,40.5122
UNI IM Equity,1991-01-25,40.5122
UNI IM Equity,1991-01-28,40.5122
UNI IM Equity,1991-01-29,40.5122
UNI IM Equity,1991-01-30,40.6707
UNI IM Equity,1991-01-31,40.8517
UNI IM Equity,1991-02-01,40.897
UNI IM Equity,1991-02-04,40.897
UNI IM Equity,1991-02-05,40.8744
UNI IM Equity,1991-02-06,40.6254
UNI IM Equity,1991-02-07,40.5122
UNI IM Equity,1991-02-08,40.5122
UNI IM Equity,1991-02-11,40.5122
UNI IM Equity,1991-02-12,40.5122
UNI IM Equity,1991-02-13,40.6254
UNI IM Equity,1991-02-14,41.2365
UNI IM Equity,1991-02-15,41.757
UNI IM Equity,1991-02-18,41.8702
UNI IM Equity,1991-02-19,41.4175
UNI IM Equity,1991-02-20,40.8404
UNI IM Equity,1991-02-21,41.5533
UNI IM Equity,1991-02-22,41.6665
UNI IM Equity,1991-02-25,41.5986
UNI IM Equity,1991-02-26,40.7159
UNI IM Equity,1991-02-27,40.9672
UNI IM Equity,1991-02-28,40.7386
UNI IM Equity,1991-03-01,40.5122
UNI IM Equity,1991-03-04,40.6254
UNI IM Equity,1991-03-05,40.7612
UNI IM Equity,1991-03-06,41.757
UNI IM Equity,1991-03-07,41.9834
UNI IM Equity,1991-03-08,42.436
UNI IM Equity,1991-03-11,43.6808
UNI IM Equity,1991-03-12,43.5676
UNI IM Equity,1991-03-13,44.3598
UNI IM Equity,1991-03-14,44.7672
UNI IM Equity,1991-03-15,45.6046
UNI IM Equity,1991-03-18,45.3782
UNI IM Equity,1991-03-19,45.0614
UNI IM Equity,1991-03-20,44.5861
UNI IM Equity,1991-03-21,44.3598
UNI IM Equity,1991-03-22,44.1787
UNI IM Equity,1991-03-25,44.0203
UNI IM Equity,1991-03-26,44.0203
UNI IM Equity,1991-03-27,44.0316
UNI IM Equity,1991-03-28,44.4729
UNI IM Equity,1991-03-29,45.0388
UNI IM Equity,1991-04-02,45.2651
UNI IM Equity,1991-04-03,45.3782
UNI IM Equity,1991-04-04,46.3967
UNI IM Equity,1991-04-05,47.517
UNI IM Equity,1991-04-08,47.3133
UNI IM Equity,1991-04-09,47.0757
UNI IM Equity,1991-04-10,46.8946
UNI IM Equity,1991-04-11,47.0757
UNI IM Equity,1991-04-12,47.2115
UNI IM Equity,1991-04-15,47.1209
UNI IM Equity,1991-04-16,46.9625
UNI IM Equity,1991-04-17,47.5283
UNI IM Equity,1991-04-18,47.6868
UNI IM Equity,1991-04-19,47.981
UNI IM Equity,1991-04-22,47.5057
UNI IM Equity,1991-04-23,47.2794
UNI IM Equity,1991-04-24,46.7362
UNI IM Equity,1991-04-26,46.193
UNI IM Equity,1991-04-29,45.7404
UNI IM Equity,1991-04-30,45.7064
UNI IM Equity,1991-05-02,46.0572
UNI IM Equity,1991-05-03,46.8494
UNI IM Equity,1991-05-06,46.623
UNI IM Equity,1991-05-07,46.4193
UNI IM Equity,1991-05-08,45.9441
UNI IM Equity,1991-05-09,46.1704
UNI IM Equity,1991-05-10,46.3967
UNI IM Equity,1991-05-13,46.6683
UNI IM Equity,1991-05-14,46.7815
UNI IM Equity,1991-05-15,46.3967
UNI IM Equity,1991-05-16,46.623
UNI IM Equity,1991-05-17,46.8494
UNI IM Equity,1991-05-20,46.7362
UNI IM Equity,1991-05-21,46.3967
UNI IM Equity,1991-05-22,46.5099
UNI IM Equity,1991-05-23,47.0757
UNI IM Equity,1991-05-24,47.5283
UNI IM Equity,1991-05-27,47.4152
UNI IM Equity,1991-05-28,47.302
UNI IM Equity,1991-05-29,47.3473
UNI IM Equity,1991-05-30,47.3473
UNI IM Equity,1991-05-31,47.3473
UNI IM Equity,1991-06-03,47.4604
UNI IM Equity,1991-06-04,47.1888
UNI IM Equity,1991-06-05,47.302
UNI IM Equity,1991-06-06,47.2341
UNI IM Equity,1991-06-07,46.8494
UNI IM Equity,1991-06-11,44.7898
UNI IM Equity,1991-06-12,46.0572
UNI IM Equity,1991-06-13,46.5099
UNI IM Equity,1991-06-14,46.7362
UNI IM Equity,1991-06-17,46.7362
UNI IM Equity,1991-06-18,46.7362
UNI IM Equity,1991-06-19,46.3967
UNI IM Equity,1991-06-20,46.1704
UNI IM Equity,1991-06-21,45.9441
UNI IM Equity,1991-06-24,45.7177
UNI IM Equity,1991-06-25,46.0572
UNI IM Equity,1991-06-26,46.0572
UNI IM Equity,1991-06-27,46.0572
UNI IM Equity,1991-06-28,46.0572
UNI IM Equity,1991-07-01,45.9441
UNI IM Equity,1991-07-02,45.6046
UNI IM Equity,1991-07-03,45.1519
UNI IM Equity,1991-07-04,45.3782
UNI IM Equity,1991-07-05,45.4914
UNI IM Equity,1991-07-08,45.4914
UNI IM Equity,1991-07-09,45.4914
UNI IM Equity,1991-07-10,45.2877
UNI IM Equity,1991-07-11,45.3782
UNI IM Equity,1991-07-12,45.3782
UNI IM Equity,1991-07-15,45.2877
UNI IM Equity,1991-07-16,45.0388
UNI IM Equity,1991-07-17,44.6993
UNI IM Equity,1991-07-18,45.0388
UNI IM Equity,1991-07-19,45.0388
UNI IM Equity,1991-07-22,45.2424
UNI IM Equity,1991-07-23,45.1519
UNI IM Equity,1991-07-24,45.2651
UNI IM Equity,1991-07-25,45.084
UNI IM Equity,1991-07-26,45.0388
UNI IM Equity,1991-07-29,45.2424
UNI IM Equity,1991-07-30,45.0388
UNI IM Equity,1991-07-31,45.0388
UNI IM Equity,1991-08-01,45.0388
UNI IM Equity,1991-08-02,44.6766
UNI IM Equity,1991-08-05,44.5861
UNI IM Equity,1991-08-06,44.2466
UNI IM Equity,1991-08-07,44.0203
UNI IM Equity,1991-08-08,43.8166
UNI IM Equity,1991-08-09,43.4545
UNI IM Equity,1991-08-12,43.2282
UNI IM Equity,1991-08-13,43.115
UNI IM Equity,1991-08-14,43.0018
UNI IM Equity,1991-08-19,39.6069
UNI IM Equity,1991-08-20,40.7386
UNI IM Equity,1991-08-21,43.0018
UNI IM Equity,1991-08-22,42.5492
UNI IM Equity,1991-08-23,42.0965
UNI IM Equity,1991-08-26,42.2097
UNI IM Equity,1991-08-27,41.9834
UNI IM Equity,1991-08-28,41.757
UNI IM Equity,1991-08-29,41.757
UNI IM Equity,1991-08-30,41.757
UNI IM Equity,1991-09-02,41.5307
UNI IM Equity,1991-09-03,41.4175
UNI IM Equity,1991-09-04,41.1007
UNI IM Equity,1991-09-05,40.7386
UNI IM Equity,1991-09-06,40.7386
UNI IM Equity,1991-09-09,40.7386
UNI IM Equity,1991-09-10,40.7386
UNI IM Equity,1991-09-11,40.7159
UNI IM Equity,1991-09-12,40.3991
UNI IM Equity,1991-09-13,40.3312
UNI IM Equity,1991-09-16,39.9464
UNI IM Equity,1991-09-17,40.1049
UNI IM Equity,1991-09-18,40.7386
UNI IM Equity,1991-09-19,40.0596
UNI IM Equity,1991-09-20,40.0596
UNI IM Equity,1991-09-23,39.7201
UNI IM Equity,1991-09-24,39.7201
UNI IM Equity,1991-09-25,39.4938
UNI IM Equity,1991-09-26,39.2675
UNI IM Equity,1991-09-27,39.0411
UNI IM Equity,1991-09-30,38.7016
UNI IM Equity,1991-10-01,38.5885
UNI IM Equity,1991-10-02,38.4753
UNI IM Equity,1991-10-03,38.4527
UNI IM Equity,1991-10-04,38.0906
UNI IM Equity,1991-10-07,37.9095
UNI IM Equity,1991-10-08,37.6832
UNI IM Equity,1991-10-09,37.1174
UNI IM Equity,1991-10-10,36.7779
UNI IM Equity,1991-10-16,36.71
UNI IM Equity,1991-10-17,36.71
UNI IM Equity,1991-10-18,36.4384
UNI IM Equity,1991-10-21,35.9857
UNI IM Equity,1991-10-22,36.6647
UNI IM Equity,1991-10-23,35.9857
UNI IM Equity,1991-10-24,35.7594
UNI IM Equity,1991-10-25,35.5331
UNI IM Equity,1991-10-28,34.8541
UNI IM Equity,1991-10-29,34.1751
UNI IM Equity,1991-10-30,34.492
UNI IM Equity,1991-10-31,35.0804
UNI IM Equity,1991-11-04,35.7594
UNI IM Equity,1991-11-05,36.2121
UNI IM Equity,1991-11-06,36.6873
UNI IM Equity,1991-11-07,36.5516
UNI IM Equity,1991-11-08,36.7779
UNI IM Equity,1991-11-11,37.0042
UNI IM Equity,1991-11-12,37.3437
UNI IM Equity,1991-11-13,39.0411
UNI IM Equity,1991-11-14,39.9464
UNI IM Equity,1991-11-15,39.9464
UNI IM Equity,1991-11-18,39.9464
UNI IM Equity,1991-11-19,40.1728
UNI IM Equity,1991-11-20,40.3991
UNI IM Equity,1991-11-21,40.3991
UNI IM Equity,1991-11-22,40.3991
UNI IM Equity,1991-11-25,40.3991
UNI IM Equity,1991-11-26,41.1912
UNI IM Equity,1991-11-27,41.8702
UNI IM Equity,1991-11-28,41.8702
UNI IM Equity,1991-11-29,41.757
UNI IM Equity,1991-12-02,41.5307
UNI IM Equity,1991-12-03,41.9834
UNI IM Equity,1991-12-04,41.8702
UNI IM Equity,1991-12-05,41.6891
UNI IM Equity,1991-12-06,41.2139
UNI IM Equity,1991-12-09,40.9875
UNI IM Equity,1991-12-10,40.7159
UNI IM Equity,1991-12-11,40.7159
UNI IM Equity,1991-12-12,40.6254
UNI IM Equity,1991-12-13,40.0596
UNI IM Equity,1991-12-16,39.6069
UNI IM Equity,1991-12-17,39.3806
UNI IM Equity,1991-12-18,38.679
UNI IM Equity,1991-12-19,38.249
UNI IM Equity,1991-12-20,37.7963
UNI IM Equity,1991-12-23,37.3437
UNI IM Equity,1991-12-27,37.1626
UNI IM Equity,1991-12-30,36.71
UNI IM Equity,1991-12-31,36.6195
UNI IM Equity,1992-01-02,36.0989
UNI IM Equity,1992-01-03,36.1668
UNI IM Equity,1992-01-07,36.1668
UNI IM Equity,1992-01-08,36.1894
UNI IM Equity,1992-01-09,36.4837
UNI IM Equity,1992-01-10,36.4384
UNI IM Equity,1992-01-13,36.3705
UNI IM Equity,1992-01-14,36.891
UNI IM Equity,1992-01-15,38.3622
UNI IM Equity,1992-01-16,38.4753
UNI IM Equity,1992-01-17,38.4527
UNI IM Equity,1992-01-20,39.3806
UNI IM Equity,1992-01-21,39.4146
UNI IM Equity,1992-01-22,40.0596
UNI IM Equity,1992-01-23,40.6254
UNI IM Equity,1992-01-24,40.7386
UNI IM Equity,1992-01-27,40.5122
UNI IM Equity,1992-01-28,40.5122
UNI IM Equity,1992-01-29,40.5122
UNI IM Equity,1992-01-30,40.6254
UNI IM Equity,1992-01-31,40.7386
UNI IM Equity,1992-02-03,40.7386
UNI IM Equity,1992-02-04,40.9649
UNI IM Equity,1992-02-05,41.3723
UNI IM Equity,1992-02-06,41.1912
UNI IM Equity,1992-02-07,40.9649
UNI IM Equity,1992-02-10,40.7159
UNI IM Equity,1992-02-11,40.6254
UNI IM Equity,1992-02-12,40.5122
UNI IM Equity,1992-02-13,40.1954
UNI IM Equity,1992-02-14,40.037
UNI IM Equity,1992-02-17,39.788
UNI IM Equity,1992-02-18,39.3806
UNI IM Equity,1992-02-19,39.3354
UNI IM Equity,1992-02-20,39.1317
UNI IM Equity,1992-02-21,39.0864
UNI IM Equity,1992-02-24,39.1543
UNI IM Equity,1992-02-25,39.3806
UNI IM Equity,1992-02-26,39.8333
UNI IM Equity,1992-02-27,39.1769
UNI IM Equity,1992-02-28,38.8601
UNI IM Equity,1992-03-02,38.4527
UNI IM Equity,1992-03-03,38.3395
UNI IM Equity,1992-03-04,38.2264
UNI IM Equity,1992-03-05,38.0227
UNI IM Equity,1992-03-06,37.57
UNI IM Equity,1992-03-09,37.4569
UNI IM Equity,1992-03-10,36.28
UNI IM Equity,1992-03-11,36.9137
UNI IM Equity,1992-03-12,36.6647
UNI IM Equity,1992-03-13,36.5516
UNI IM Equity,1992-03-16,36.925
UNI IM Equity,1992-03-17,36.2573
UNI IM Equity,1992-03-18,36.2121
UNI IM Equity,1992-03-19,36.2121
UNI IM Equity,1992-03-20,36.2121
UNI IM Equity,1992-03-23,36.2121
UNI IM Equity,1992-03-24,36.2121
UNI IM Equity,1992-03-25,36.2121
UNI IM Equity,1992-03-26,36.0989
UNI IM Equity,1992-03-27,36.0989
UNI IM Equity,1992-03-30,36.0989
UNI IM Equity,1992-03-31,36.2121
UNI IM Equity,1992-04-01,36.0989
UNI IM Equity,1992-04-02,35.8499
UNI IM Equity,1992-04-03,35.5331
UNI IM Equity,1992-04-06,35.7594
UNI IM Equity,1992-04-07,35.4199
UNI IM Equity,1992-04-08,35.2841
UNI IM Equity,1992-04-09,35.0804
UNI IM Equity,1992-04-10,35.0804
UNI IM Equity,1992-04-13,35.0804
UNI IM Equity,1992-04-14,35.0804
UNI IM Equity,1992-04-15,35.0804
UNI IM Equity,1992-04-16,34.1086
UNI IM Equity,1992-04-17,34.0505
UNI IM Equity,1992-04-21,32.4235
UNI IM Equity,1992-04-22,32.4235
UNI IM Equity,1992-04-23,32.4235
UNI IM Equity,1992-04-24,32.4235
UNI IM Equity,1992-04-27,31.9587
UNI IM Equity,1992-04-28,31.9587
UNI IM Equity,1992-04-29,31.8134
UNI IM Equity,1992-04-30,31.8134
UNI IM Equity,1992-05-04,31.8134
UNI IM Equity,1992-05-05,31.8134
UNI IM Equity,1992-05-06,31.8134
UNI IM Equity,1992-05-07,31.8134
UNI IM Equity,1992-05-08,31.8134
UNI IM Equity,1992-05-11,31.8134
UNI IM Equity,1992-05-12,31.8134
UNI IM Equity,1992-05-13,31.8134
UNI IM Equity,1992-05-14,31.8134
UNI IM Equity,1992-05-15,34.4282
UNI IM Equity,1992-05-18,32.6705
UNI IM Equity,1992-05-19,31.8134
UNI IM Equity,1992-05-20,31.8424
UNI IM Equity,1992-05-21,31.9587
UNI IM Equity,1992-05-22,32.5397
UNI IM Equity,1992-05-25,32.5397
UNI IM Equity,1992-05-26,32.5107
UNI IM Equity,1992-05-27,31.9732
UNI IM Equity,1992-05-28,32.1766
UNI IM Equity,1992-05-29,31.9296
UNI IM Equity,1992-06-01,31.8134
UNI IM Equity,1992-06-02,32.4671
UNI IM Equity,1992-06-03,31.8134
UNI IM Equity,1992-06-04,31.8134
UNI IM Equity,1992-06-05,31.8134
UNI IM Equity,1992-06-08,31.8134
UNI IM Equity,1992-06-09,31.8134
UNI IM Equity,1992-06-10,31.8134
UNI IM Equity,1992-06-11,31.9587
UNI IM Equity,1992-06-12,31.8134
UNI IM Equity,1992-06-15,31.8134
UNI IM Equity,1992-06-16,31.8134
UNI IM Equity,1992-06-17,30.7965
UNI IM Equity,1992-06-18,30.7965
UNI IM Equity,1992-06-19,30.7965
UNI IM Equity,1992-06-22,30.6513
UNI IM Equity,1992-06-23,30.6513
UNI IM Equity,1992-06-24,30.2736
UNI IM Equity,1992-06-25,30.2126
UNI IM Equity,1992-06-26,30.0121
UNI IM Equity,1992-06-29,30.0121
UNI IM Equity,1992-06-30,29.9249
UNI IM Equity,1992-07-01,29.4891
UNI IM Equity,1992-07-02,29.0533
UNI IM Equity,1992-07-03,29.0533
UNI IM Equity,1992-07-06,28.9081
UNI IM Equity,1992-07-07,28.7047
UNI IM Equity,1992-07-08,28.4432
UNI IM Equity,1992-07-09,28.3851
UNI IM Equity,1992-07-10,28.85
UNI IM Equity,1992-07-13,28.6175
UNI IM Equity,1992-07-14,28.5856
UNI IM Equity,1992-07-15,28.4142
UNI IM Equity,1992-07-16,28.1817
UNI IM Equity,1992-07-17,28.1817
UNI IM Equity,1992-07-20,27.6297
UNI IM Equity,1992-07-21,27.6297
UNI IM Equity,1992-07-22,27.6297
UNI IM Equity,1992-07-23,27.6297
UNI IM Equity,1992-07-24,27.6297
UNI IM Equity,1992-07-27,27.1358
UNI IM Equity,1992-07-28,27.1358
UNI IM Equity,1992-07-29,27.1358
UNI IM Equity,1992-07-30,28.4723
UNI IM Equity,1992-07-31,28.1817
UNI IM Equity,1992-08-03,28.2689
UNI IM Equity,1992-08-04,28.2689
UNI IM Equity,1992-08-05,28.6175
UNI IM Equity,1992-08-06,28.4723
UNI IM Equity,1992-08-07,28.4112
UNI IM Equity,1992-08-10,28.0365
UNI IM Equity,1992-08-11,28.4112
UNI IM Equity,1992-08-12,28.327
UNI IM Equity,1992-08-13,28.0365
UNI IM Equity,1992-08-14,28.1817
UNI IM Equity,1992-08-17,28.1817
UNI IM Equity,1992-08-18,28.4112
UNI IM Equity,1992-08-19,28.1817
UNI IM Equity,1992-08-20,28.1817
UNI IM Equity,1992-08-21,28.1527
UNI IM Equity,1992-08-24,27.7459
UNI IM Equity,1992-08-25,27.3101
UNI IM Equity,1992-08-26,27.0196
UNI IM Equity,1992-08-27,26.7581
UNI IM Equity,1992-08-28,26.5838
UNI IM Equity,1992-08-31,26.2352
UNI IM Equity,1992-09-01,25.8575
UNI IM Equity,1992-09-02,25.4217
UNI IM Equity,1992-09-03,25.0149
UNI IM Equity,1992-09-04,24.6372
UNI IM Equity,1992-09-07,23.8818
UNI IM Equity,1992-09-08,23.8818
UNI IM Equity,1992-09-09,23.969
UNI IM Equity,1992-09-10,24.1143
UNI IM Equity,1992-09-11,23.8818
UNI IM Equity,1992-09-14,23.8818
UNI IM Equity,1992-09-15,23.8237
UNI IM Equity,1992-09-16,23.2717
UNI IM Equity,1992-09-17,24.6953
UNI IM Equity,1992-09-18,25.2764
UNI IM Equity,1992-09-21,26.148
UNI IM Equity,1992-09-22,25.5669
UNI IM Equity,1992-09-23,25.3926
UNI IM Equity,1992-09-24,25.2473
UNI IM Equity,1992-09-25,24.8115
UNI IM Equity,1992-09-28,24.3757
UNI IM Equity,1992-09-29,24.2305
